ENTITY_TYPE     ANIMATION        LOCATION_X     LOCATION_Y         TOTAL_TILES_IN_WIDTH       TOTAL_TILES_IN_HEIGHT       ITEM
TILE            GROUND                   25             1          1                          1                           -
TILE            GROUND                   26             1          1                          1                           -
TILE            GROUND                   27             1          1                          1                           -
TILE            GROUND                   28             1          1                          1                           -
TILE            GROUND                   29             1          1                          1                           -
TILE            GROUND                   30             1          1                          1                           -
TILE            GROUND                   31             1          1                          1                           -
TILE            GROUND                   32             1          1                          1                           -
TILE            GROUND                   33             1          1                          1                           -
TILE            GROUND                   34             1          1                          1                           -
TILE            GROUND                   35             1          1                          1                           -
TILE            GROUND                   36             1          1                          1                           -
TILE            GROUND                   37             1          1                          1                           -
TILE            GROUND                   38             1          1                          1                           -
TILE            GROUND                   39             1          1                          1                           -
TILE            GROUND                   40             1          1                          1                           -
TILE            GROUND                   41             1          1                          1                           -
TILE            GROUND                   42             1          1                          1                           -
TILE            GROUND                   43             1          1                          1                           -
TILE            GROUND                   44             1          1                          1                           -
TILE            GROUND                   45             1          1                          1                           -
TILE            GROUND                   46             1          1                          1                           -
TILE            GROUND                   47             1          1                          1                           -
TILE            GROUND                   48             1          1                          1                           -
TILE            GROUND                   49             1          1                          1                           -
TILE            GROUND                   50             1          1                          1                           -
TILE            GROUND                   51             1          1                          1                           -
TILE            GROUND                   52             1          1                          1                           -
TILE            GROUND                   53             1          1                          1                           -
TILE            GROUND                   54             1          1                          1                           -
TILE            GROUND                   55             1          1                          1                           -
TILE            GROUND                   56             1          1                          1                           -
TILE            GROUND                   57             1          1                          1                           -
TILE            GROUND                   58             1          1                          1                           -
TILE            GROUND                   59             1          1                          1                           -
TILE            GROUND                   60             1          1                          1                           -
TILE            GROUND                   61             1          1                          1                           -
TILE            GROUND                   62             1          1                          1                           -
TILE            GROUND                   63             1          1                          1                           -
TILE            GROUND                   64             1          1                          1                           -
TILE            GROUND                   65             1          1                          1                           -
TILE            GROUND                   66             1          1                          1                           -
TILE            GROUND                   67             1          1                          1                           -
TILE            GROUND                   68             1          1                          1                           -
